nombre;categoria;rvc;epochs;language;enlace;nombre2;rvc2;epochs2;language2;enlace2;nombre3;rvc3;epochs3;language3;enlace3;nombre4;rvc4;epochs4;language4;enlace4;nombre5;rvc5;epochs5;language5;enlace5;nombre6;rvc6;epochs6;language6;enlace6;nombre7;rvc7;epochs7;language7;enlace7;nombre8;rvc8;epochs8;language8;enlace8;nombre9;rvc9;epochs9;language9;enlace9;nombre10;rvc10;epochs10;language10;enlace10
A$AP, Rocky;Singer;RVC;;;https://app.kits.ai/convert/shared/adollarap-rocky;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aatrox;League of Legends;RVC2;1000;;https://huggingface.co/AyyMann/AyyMannAI/resolve/main/AatroxTheDarkinBlade.zip?download=true;Aatrox ;RVC2;300;;https://huggingface.co/trinitytf/Aatrox/resolve/main/Aatrox.zip;Aatrox ;RVCV2;300;Portugues;https://huggingface.co/AlbinoSenpai/aatrox/resolve/main/aatrox.zip;Aatrox ;RVC2;275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adele;Singer;RVC2;300;;https://huggingface.co/GoDZ21/AdeleAI_21Era_RVCv2_rmvpe/resolve/main/adele_twentyoneera_RVCv2.zip;Adele;RVC;400;;https://drive.google.com/file/d/1454sbUV0We23y9a7QkoTXfY52HXorTCV/view?usp=share_link;Adele;RVCV2, RMVPE;500;;https://huggingface.co/Bilious/Adele30Model/resolve/main/Adele30Model.zip?download=true;Adele;RVCV2;470;;https://huggingface.co/AIVER-SE/Adele/resolve/main/Adele.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adolf Hitler;Politician;RVC2;200;Austrian;https://huggingface.co/Stevenojob/austrian_painter/resolve/main/austrian%20painter.zip?download=true;Adolf Hitler;RVC2;200;;https://huggingface.co/MrDawg/AdolfERB/blob/main/AdolfERB.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amber;Brawl Stars;;;;https://huggingface.co/fernandogg2009/Amber/resolve/main/Amber.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anakin Skywalker ;Star Wars;;500;;https://models.weights.gg/cloampk6400wkwsj798mvv18c.zip;Anakin Skywalker ;RVC2;500;;https://huggingface.co/TJKAI/AnakinSkywalker/resolve/main/AnakinSkywalker.zip;Anakin Skywalker ;RVC2;500;;https://huggingface.co/Akitai/AnakinCGI/resolve/main/AnakinCGI.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Android 13;Dragon Ball;RVC2;300;;https://huggingface.co/SyberGen/DragonBallVModels/resolve/main/Android13.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Android 16 ;Dragon Ball;RVC2;300;;https://huggingface.co/SyberGen/DragonBall-Ov2Super/resolve/main/Android16-FighterZ.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Android 21;Dragon Ball;RVC2;300;;https://huggingface.co/SyberGen/DragonBallVModels/resolve/main/Android21Evil.zip?download=true;Android 21 ;RVC2;300;;https://huggingface.co/SyberGen/DragonBallVModels/resolve/main/Android21Good.zip;Android 21 ;RVC2;300;;https://huggingface.co/SyberGen/DragonBallVModels/resolve/main/Android21-LabCoat.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andy Black;Singer;RVC2;490;;https://huggingface.co/SUP3RMASS1VE/Andy-Black-0v2/resolve/main/Andy%20Black%200v2.zip?download=true;Andy Black;RVC2;200;;https://huggingface.co/SUP3RMASS1VE/AndyBlack/resolve/main/AndyBlack.zip;Andy Black;RVC2;700;;https://huggingface.co/SUP3RMASS1VE/Andy-Black/resolve/main/Andy-Black.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angel Dust;Hazbin Hotel;RVC2, OV2;300;Português;https://huggingface.co/BunnyToon/angel-cantando/resolve/main/angel.zip?download=true;Angel Dust;RVC2, RVMPE;250;;https://huggingface.co/ScruffyRVC/RFCRVCV2/resolve/main/AngelDust.zip?download=true;Angel Dust;RVC2;260;Português;https://huggingface.co/BunnyToon/angel/resolve/main/angel.zip?download=true;Angel Dust;RVC2;1000;Italian;https://huggingface.co/Loren85/Angel-Dust-Hazbin-Hotel-Ita/resolve/main/Angel%20Dust%20Hazbin%20Hotel%20ita.zip?download=true;Angel Dust;RVC2, OV2;350;italian;https://huggingface.co/Loren85/Angel-Dust-Italiano-Hazbin-hotel/resolve/main/Angel%20Dust%20Ita.zip?download=true;Angel Dust;RVC2, RVMPE;800;;https://huggingface.co/ScruffyRVC/RFCRVCV2/resolve/main/angeldust2.zip?download=true;Angel Dust;RVC2;1000;;https://huggingface.co/Loren85/Angel-dust-New-Voice/resolve/main/Angel%20Dust%20New%20Voice.zip?download=true;;;;;;;;;;;;;;;
Angelo;Brawl Stars;RVC2, RMVPE;200;;https://huggingface.co/PlayerBPlaytime/My-Models/resolve/main/Angelo.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
